Timestamp,Rooms,People,Area(gaz),Floors,Units(September),Units(August),TotalUnits,Peak Time(Hours),Air Conditioner (Inverter),Air Conditioner (non-Inverter),Refrigerator,Deep Freezer,Water Dispenser,Washing Machine,Television,Iron,Microwave Oven,Electric Oven,Electric Stove,Water heater/Electric Geyser,Desktop Computer,Gaming Consoles/Laptops,Electric Kettle,Light sources,Fans
10/20/2023 19:24:34,8,4,300,2,990,700,1690,6,2,2,2,1,1,1,2,1,1,1,0,1,0,3,1,33,19
10/20/2023 19:35:29,8,6,450,2,1000,1024,2024,8,2,0,2,0,1,2,2,2,1,0,0,0,0,0,1,19,10
10/20/2023 20:44:04,5,4,1905,2,37,37,74,10,1,1,1,0,1,1,1,1,1,0,0,0,0,2,0,20,10
10/20/2023 20:51:22,3,4,1000,2,33,32,65,10,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,7,9
10/20/2023 20:55:09,11,5,544,2,1100,1080,2180,12,7,0,2,1,0,2,2,2,2,1,1,1,2,3,1,54,19
10/20/2023 21:41:43,3,4,90,1,350,550,900,14,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,10,8
10/20/2023 22:46:51,4,12,0,2,700,600,1300,2,1,2,1,0,1,1,2,2,0,0,0,1,1,1,0,16,10
10/20/2023 23:11:17,5,5,130,1,519,639,1158,8,3,0,1,0,1,1,0,1,1,1,1,0,0,3,0,22,5
10/20/2023 23:31:08,3,6,300,1,260,257,517,10,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,6,10
10/20/2023 23:37:01,7,6,200,2,200,150,350,18,4,0,1,0,0,1,2,1,1,1,0,1,0,0,0,16,9
10/20/2023 23:49:13,5,5,1000,3,250,300,550,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
10/20/2023 23:52:07,4,4,120,2,369,89,458,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,7,10
10/20/2023 23:52:24,16,14,100,3,415,392,807,18,9,0,2,1,2,1,9,3,3,2,1,2,1,3,0,50,15
10/20/2023 23:54:26,6,5,400,1,336,539,875,16,3,0,1,0,1,1,1,1,1,0,1,1,0,2,0,17,5
10/21/2023 0:01:34,4,5,200,1,442,422,864,20,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,16,8
10/21/2023 0:30:17,4,5,160,1,2910,2494,5404,2,0,1,1,0,0,1,1,2,1,0,0,0,1,2,0,8,6
10/21/2023 0:31:08,4,6,45,1,420,370,790,2,1,0,1,1,1,1,1,1,1,0,0,0,4,1,0,16,6
10/21/2023 0:43:55,4,5,220,3,428,349,777,8,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,11,5
10/21/2023 0:49:43,14,12,500,2,700,650,1350,2,7,2,1,1,1,1,8,2,1,0,0,1,0,1,0,48,20
10/21/2023 1:08:38,4,6,0,2,110,95,205,18,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6,8
10/21/2023 2:54:28,3,15,200,3,450,500,950,16,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,5,5
10/21/2023 6:58:19,13,7,1089,2,2900,2600,5500,18,2,2,2,0,2,2,2,1,1,0,0,0,2,2,1,47,29
10/21/2023 9:40:18,4,4,100,1,246,550,796,12,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,24,5
10/21/2023 11:54:46,12,7,6000,3,300,300,600,2,5,0,1,0,1,1,2,2,1,1,1,2,2,2,1,48,15
10/21/2023 12:07:36,4,8,0,3,377,385,762,6,6,7,6,5,7,7,9,7,6,5,6,9,7,6,7,51,47
10/21/2023 13:25:37,22,5,840,2,373,442,815,10,8,1,2,2,1,1,0,2,0,1,1,1,3,4,1,32,11
10/21/2023 14:20:30,28,7,1361,3,421,394,815,4,7,7,3,1,4,3,6,2,2,2,1,5,0,7,1,48,21
10/21/2023 14:30:48,6,4,120,2,250,280,530,8,1,0,1,0,0,1,1,1,0,0,0,1,1,2,0,13,9
10/21/2023 14:55:19,5,5,240,1,530,510,1040,6,1,0,1,0,0,1,1,1,1,1,0,0,0,3,0,49,8
10/21/2023 17:01:19,14,12,240,3,400,400,800,6,2,0,1,2,2,2,0,2,0,2,0,2,0,3,0,23,12
